"","Symbol","Description","NED1","NED2","NED3","NED4","DS1","DS2","DS3","DS4","Biotypes","EntrezID"
"14","LAP3","leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]",302,127,783,62,130,154,197,222,"protein_coding",51056
"15","LASP1","LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]",3320,1125,7787,2979,1478,668,3090,3046,"protein_coding",3927
"16","SNX11","sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]",136,43,556,93,70,81,92,111,"protein_coding",29916
"17","TMEM176A","transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]",15,1,107,3,0,4,20,26,"protein_coding",55365
"18","M6PR","mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]",412,386,2085,353,201,186,519,300,"protein_coding",4074
"19","DBNDD1","dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]",10,24,22,17,15,9,18,14,"protein_coding",79007
"20","ALS2","alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]",82,36,153,50,8,10,56,41,"protein_coding",57679
"21","CASP10","caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]",201,116,812,242,47,49,223,165,"protein_coding",843
"22","CFLAR","CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]",1603,512,5537,1873,953,546,1274,1468,"protein_coding",8837
"23","TFPI","tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]",28,9,92,15,28,3,34,15,"protein_coding",7035
"24","NDUFAF7","NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]",63,67,388,76,36,36,119,64,"protein_coding",55471
"25","RBM5","RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]",433,205,2166,416,161,162,428,315,"protein_coding",10181
"26","ARF5","ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]",981,399,2764,779,612,466,619,878,"protein_coding",381
"27","POLDIP2","DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]",137,61,443,82,74,44,108,92,"protein_coding",26073
"28","PLXND1","plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]",221,52,443,178,50,71,192,115,"protein_coding",23129
"29","AK2","adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]",261,227,1228,272,209,148,274,226,"protein_coding",204
"30","CD38","CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]",88,60,192,94,53,44,73,88,"protein_coding",952
"31","FKBP4","FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]",157,116,650,94,74,40,166,120,"protein_coding",2288
"32","KDM1A","lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]",20,31,180,38,29,10,42,21,"protein_coding",23028
"33","RBM6","RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]",229,269,991,131,139,74,365,137,"protein_coding",10180
"34","CAMKK1","calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]",116,18,110,23,28,12,27,33,"protein_coding",84254
"35","RECQL","RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]",28,50,253,37,49,7,75,22,"protein_coding",5965
"36","VPS50","VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956]",23,16,81,14,6,18,38,23,"protein_coding",55610
"37","ARHGAP33","Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]",25,17,132,34,14,4,20,16,"protein_coding",115703
"38","NDUFAB1","NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]",206,173,825,135,115,116,181,255,"protein_coding",4706
"39","PDK4","pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]",762,184,2051,531,202,182,642,492,"protein_coding",5166
"40","SLC22A16","solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302]",38,16,37,13,9,3,19,24,"protein_coding",85413
"41","ZMYND10","zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]",25,10,38,30,6,9,33,9,"protein_coding",51364
"42","SLC25A13","solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]",19,28,50,8,6,7,7,6,"protein_coding",10165
"43","ST7","suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]",38,30,177,42,12,23,85,28,"protein_coding",93655
"44","CDC27","cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]",1720,1265,3254,1206,889,252,1014,867,"protein_coding",996
"45","SLC4A1","solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]",3984,5285,5417,2639,2534,938,1429,3553,"protein_coding",6521
"46","HCCS","holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]",35,26,145,20,16,6,32,15,"protein_coding",3052
"47","DVL2","dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]",17,16,39,19,6,6,19,12,"protein_coding",1856
"48","UPF1","UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]",368,127,700,328,175,105,268,270,"protein_coding",5976
"49","SKAP2","src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]",359,136,2258,732,299,122,611,436,"protein_coding",8935
"50","SLC25A5","solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]",969,645,3330,613,457,480,920,844,"protein_coding",292
"51","MCUB","mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]",83,93,571,94,39,56,133,100,"protein_coding",55013
"52","POLR2J","RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]",227,184,588,99,188,112,68,165,"protein_coding",5439
"53","DHX33","DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718]",51,23,151,85,12,15,29,17,"protein_coding",56919
"54","LIG3","DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]",33,25,193,15,15,26,54,31,"protein_coding",3980
"55","RPAP3","RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]",109,63,404,81,34,41,86,63,"protein_coding",79657
"56","ACSM3","acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]",8,10,84,24,10,7,18,13,"protein_coding",6296
"57","CIAPIN1","cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]",69,49,241,36,21,23,67,47,"protein_coding",57019
"58","SPPL2B","signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]",197,119,515,248,109,62,309,213,"protein_coding",56928
"59","FAM214B","family with sequence similarity 214 member B [Source:HGNC Symbol;Acc:HGNC:25666]",273,169,414,190,142,55,151,154,"protein_coding",80256
"60","PRKAR2B","protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]",248,196,1094,241,273,49,367,282,"protein_coding",5577
"61","MSL3","MSL complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7370]",109,127,699,124,82,22,153,110,"protein_coding",10943
"62","CREBBP","CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]",641,350,2600,1012,292,136,907,662,"protein_coding",1387
"63","TSPOAP1","TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]",152,76,243,104,82,22,96,80,"protein_coding",9256
"64","MPO","myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]",33,28,123,20,10,69,39,70,"protein_coding",4353
"65","GCFC2","GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]",7,4,85,13,2,7,14,15,"protein_coding",6936
"66","WDR54","WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]",20,34,107,75,11,13,26,20,"protein_coding",84058
"67","CROT","carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]",18,18,92,47,6,13,15,6,"protein_coding",54677
"68","RHBDD2","rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]",182,69,762,150,122,92,174,199,"protein_coding",57414
"69","IBTK","inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]",52,36,242,28,12,17,51,23,"protein_coding",25998
"70","ZNF195","zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986]",15,7,114,17,7,17,22,14,"protein_coding",7748
"71","MYCBP2","MYC binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23386]",324,191,1770,337,106,116,697,172,"protein_coding",23077
"72","ITGAL","integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]",134,51,165,43,65,49,87,53,"protein_coding",3683
"73","PDK2","pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]",213,132,868,178,205,125,259,261,"protein_coding",5164
"74","ZFX","zinc finger protein X-linked [Source:HGNC Symbol;Acc:HGNC:12869]",220,182,1999,279,189,52,478,204,"protein_coding",7543
"75","LAMP2","lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]",2041,245,6428,2772,941,618,1358,1530,"protein_coding",3920
"76","ITGA2B","integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]",240,92,622,192,171,46,338,371,"protein_coding",3674
"77","GDE1","glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]",909,553,1256,622,368,168,351,446,"protein_coding",51573
"78","REX1BD","required for excision 1-B domain containing [Source:HGNC Symbol;Acc:HGNC:26098]",15,23,100,9,6,6,11,21,"protein_coding",55049
"79","OSBPL7","oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387]",45,29,130,34,20,6,78,30,"protein_coding",114881
"80","MAP3K14","mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:HGNC:6853]",120,63,325,172,41,34,117,121,"protein_coding",9020
"81","AP2B1","adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]",919,557,3687,826,294,318,940,678,"protein_coding",163
"82","SPATA20","spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125]",4,10,77,31,16,14,31,12,"protein_coding",64847
"83","TNFRSF12A","TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]",50,1,108,15,24,18,12,34,"protein_coding",51330
"84","MAP3K9","mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:HGNC:6861]",9,28,119,32,11,3,37,26,"protein_coding",4293
"85","KDM7A","lysine demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]",1058,924,3135,863,431,164,617,539,"protein_coding",80853
"86","ALDH3B1","aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]",184,37,511,134,65,79,125,101,"protein_coding",221
"87","TTC22","tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]",30,20,114,25,25,12,23,31,"protein_coding",55001
"88","PHTF2","putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]",84,62,368,95,20,29,97,77,"protein_coding",57157
"89","FARP2","FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]",12,9,78,22,2,5,21,10,"protein_coding",9855
"90","DBF4","DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]",39,28,157,18,8,38,35,26,"protein_coding",10926
"91","TBXA2R","thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]",29,14,94,113,75,19,47,54,"protein_coding",6915
"92","IFRD1","interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]",72,9,152,70,56,43,39,43,"protein_coding",3475
"93","COX10","cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 [Source:HGNC Symbol;Acc:HGNC:2260]",145,116,717,253,82,69,248,125,"protein_coding",1352
"94","PAF1","PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]",274,148,698,125,121,93,119,232,"protein_coding",54623
"95","VPS41","VPS41 subunit of HOPS complex [Source:HGNC Symbol;Acc:HGNC:12713]",99,89,439,99,69,15,101,64,"protein_coding",27072
"96","ELAC2","elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:HGNC:14198]",115,74,500,133,40,32,135,75,"protein_coding",60528
"97","ARSD","arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]",32,22,173,35,7,13,40,39,"protein_coding",414
"98","ADIPOR2","adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]",147,76,400,121,101,74,85,86,"protein_coding",79602
"99","MARK4","microtubule affinity regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]",160,103,323,216,96,25,101,88,"protein_coding",57787
"100","CCDC124","coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:HGNC:25171]",328,366,792,188,177,101,119,261,"protein_coding",115098
"101","CEACAM21","CEA cell adhesion molecule 21 [Source:HGNC Symbol;Acc:HGNC:28834]",34,13,246,45,27,34,38,28,"protein_coding",90273
"102","PAFAH1B1","platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]",370,223,1274,361,186,188,283,232,"protein_coding",5048
"103","KIAA0100","KIAA0100 [Source:HGNC Symbol;Acc:HGNC:28960]",265,143,997,195,64,91,209,159,"protein_coding",9703
"104","GAS7","growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]",580,111,2227,661,236,166,490,306,"protein_coding",8522
"105","TRAPPC6A","trafficking protein particle complex subunit 6A [Source:HGNC Symbol;Acc:HGNC:23069]",140,135,500,104,92,96,184,124,"protein_coding",79090
"106","MATK","megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6906]",305,174,683,221,211,134,293,204,"protein_coding",4145
"107","TKTL1","transketolase like 1 [Source:HGNC Symbol;Acc:HGNC:11835]",30,2,292,47,1,3,27,15,"protein_coding",8277
"108","RPUSD1","RNA pseudouridine synthase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14173]",33,22,111,15,20,12,18,32,"protein_coding",113000
"109","LUC7L","LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723]",310,362,1097,246,98,89,394,221,"protein_coding",55692
"110","CACNA2D2","calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]",14,9,46,19,13,15,11,5,"protein_coding",9254
"111","BAIAP3","BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]",30,14,167,115,14,13,49,24,"protein_coding",8938
"112","TSR3","TSR3 ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:14175]",306,196,603,256,212,130,146,255,"protein_coding",115939
"113","PIGQ","phosphatidylinositol glycan anchor biosynthesis class Q [Source:HGNC Symbol;Acc:HGNC:14135]",194,146,423,139,96,73,121,97,"protein_coding",9091
"114","DNAJC11","DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570]",52,65,185,56,26,15,52,32,"protein_coding",55735
"115","MYLIP","myosin regulatory light chain interacting protein [Source:HGNC Symbol;Acc:HGNC:21155]",51,16,190,57,47,24,41,39,"protein_coding",29116
"116","E2F2","E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]",1064,526,764,483,167,85,206,386,"protein_coding",1870
"117","PSMB1","proteasome 20S subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9537]",276,223,797,134,156,101,169,222,"protein_coding",5689
"118","JARID2","jumonji and AT-rich interaction domain containing 2 [Source:HGNC Symbol;Acc:HGNC:6196]",513,212,2327,796,351,138,699,379,"protein_coding",3720
"119","NADK","NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]",1443,139,3505,1198,629,497,815,941,"protein_coding",65220
"120","CYTH3","cytohesin 3 [Source:HGNC Symbol;Acc:HGNC:9504]",39,27,86,95,6,7,46,27,"protein_coding",9265
"121","SYPL1","synaptophysin like 1 [Source:HGNC Symbol;Acc:HGNC:11507]",276,168,1002,296,164,147,311,222,"protein_coding",6856
"122","CYB561","cytochrome b561 [Source:HGNC Symbol;Acc:HGNC:2571]",33,24,190,46,21,8,32,30,"protein_coding",1534
"123","SPAG9","sperm associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:14524]",549,237,2451,752,307,175,689,445,"protein_coding",9043
"124","SS18L2","SS18 like 2 [Source:HGNC Symbol;Acc:HGNC:15593]",76,89,123,18,27,20,45,39,"protein_coding",51188
"125","MPND","MPN domain containing [Source:HGNC Symbol;Acc:HGNC:25934]",23,15,70,18,13,7,20,20,"protein_coding",84954
"126","MGST1","microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061]",113,20,589,36,52,75,125,107,"protein_coding",4257
"127","CRY1","cryptochrome circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:2384]",17,14,91,11,5,8,21,10,"protein_coding",1407
"128","PGLYRP1","peptidoglycan recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:8904]",329,142,1142,326,301,305,244,461,"protein_coding",8993
"129","ST3GAL1","ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10862]",214,170,678,246,88,47,220,195,"protein_coding",6482
"130","MMP25","matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246]",29,9,44,35,13,11,44,25,"protein_coding",64386
"131","IL32","interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]",17,14,41,20,7,7,16,16,"protein_coding",9235
"132","MED24","mediator complex subunit 24 [Source:HGNC Symbol;Acc:HGNC:22963]",272,222,908,199,97,96,291,263,"protein_coding",9862
"133","RHOBTB2","Rho related BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18756]",137,53,334,72,36,23,116,73,"protein_coding",23221
"134","HEATR5B","HEAT repeat containing 5B [Source:HGNC Symbol;Acc:HGNC:29273]",301,196,1596,335,109,50,352,175,"protein_coding",54497
"135","SEC62","SEC62 homolog, preprotein translocation factor [Source:HGNC Symbol;Acc:HGNC:11846]",520,972,1200,238,343,79,274,248,"protein_coding",7095
"136","RPS20","ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]",1147,3398,6179,665,1620,651,1512,1239,"protein_coding",6224
"137","CSDE1","cold shock domain containing E1 [Source:HGNC Symbol;Acc:HGNC:29905]",7,15,38,5,12,1,18,9,"protein_coding",7812
"138","UBE3C","ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:HGNC:16803]",102,63,519,101,55,59,180,44,"protein_coding",9690
"139","REV3L","REV3 like, DNA directed polymerase zeta catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9968]",62,33,352,59,42,11,94,40,"protein_coding",5980
"140","TENM1","teneurin transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:8117]",18,13,172,66,20,19,41,12,"protein_coding",10178
"141","FAM76A","family with sequence similarity 76 member A [Source:HGNC Symbol;Acc:HGNC:28530]",77,88,344,87,31,52,119,45,"protein_coding",199870
"142","VTA1","vesicle trafficking 1 [Source:HGNC Symbol;Acc:HGNC:20954]",86,22,249,62,37,29,46,53,"protein_coding",51534
"143","BAZ1B","bromodomain adjacent to zinc finger domain 1B [Source:HGNC Symbol;Acc:HGNC:961]",21,53,106,26,20,4,31,16,"protein_coding",9031
"144","RANBP9","RAN binding protein 9 [Source:HGNC Symbol;Acc:HGNC:13727]",126,140,449,130,117,43,143,117,"protein_coding",10048
"145","SPRTN","SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356]",48,26,307,67,26,16,85,37,"protein_coding",83932
"146","METTL13","methyltransferase 13, eEF1A lysine and N-terminal methyltransferase [Source:HGNC Symbol;Acc:HGNC:24248]",24,15,87,18,7,12,23,10,"protein_coding",51603
"147","UQCRC1","ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]",91,59,344,43,48,76,92,62,"protein_coding",7384
"148","STARD3NL","STARD3 N-terminal like [Source:HGNC Symbol;Acc:HGNC:19169]",133,44,329,88,50,57,75,75,"protein_coding",83930
"149","CD9","CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]",371,85,676,322,195,161,159,288,"protein_coding",928
"150","NCAPD2","non-SMC condensin I complex subunit D2 [Source:HGNC Symbol;Acc:HGNC:24305]",311,305,1406,454,129,91,414,251,"protein_coding",9918
"151","IFFO1","intermediate filament family orphan 1 [Source:HGNC Symbol;Acc:HGNC:24970]",53,54,319,113,49,25,81,73,"protein_coding",25900
"152","GIPR","gastric inhibitory polypeptide receptor [Source:HGNC Symbol;Acc:HGNC:4271]",16,8,39,25,4,9,11,9,"protein_coding",2696
"153","NISCH","nischarin [Source:HGNC Symbol;Acc:HGNC:18006]",134,95,628,154,59,58,171,104,"protein_coding",11188
"154","STAB1","stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]",119,23,207,70,95,49,80,63,"protein_coding",23166
"155","FUZ","fuzzy planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:26219]",123,25,143,136,77,23,89,66,"protein_coding",80199
"156","ZNF200","zinc finger protein 200 [Source:HGNC Symbol;Acc:HGNC:12993]",76,28,255,107,73,28,73,88,"protein_coding",7752
"157","CD4","CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]",897,461,3784,597,283,407,1089,688,"protein_coding",920
"158","BTK","Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:1133]",176,42,579,154,51,41,112,106,"protein_coding",695
"159","HFE","homeostatic iron regulator [Source:HGNC Symbol;Acc:HGNC:4886]",21,10,96,32,8,9,13,18,"protein_coding",3077
"160","SCMH1","Scm polycomb group protein homolog 1 [Source:HGNC Symbol;Acc:HGNC:19003]",77,51,412,159,15,32,112,66,"protein_coding",22955
"161","FYN","FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]",587,733,3464,636,337,242,1018,439,"protein_coding",2534
"162","HIVEP2","HIVEP zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4921]",73,79,557,135,60,41,199,107,"protein_coding",3097
"163","ELOA","elongin A [Source:HGNC Symbol;Acc:HGNC:11620]",154,90,663,151,60,49,239,121,"protein_coding",6924
"164","LYPLA2","lysophospholipase 2 [Source:HGNC Symbol;Acc:HGNC:6738]",243,151,954,359,167,122,257,286,"protein_coding",11313
"165","CLCN6","chloride voltage-gated channel 6 [Source:HGNC Symbol;Acc:HGNC:2024]",59,17,344,66,20,20,118,45,"protein_coding",1185
"166","TSPAN9","tetraspanin 9 [Source:HGNC Symbol;Acc:HGNC:21640]",41,13,98,15,35,20,39,41,"protein_coding",10867
"167","BTBD7","BTB domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18269]",168,50,777,213,47,53,218,128,"protein_coding",55727
"168","APBA3","amyloid beta precursor protein binding family A member 3 [Source:HGNC Symbol;Acc:HGNC:580]",140,92,586,186,82,69,184,136,"protein_coding",9546
"169","MKS1","MKS transition zone complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:7121]",31,12,80,11,3,7,26,17,"protein_coding",54903
"170","ABHD5","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase [Source:HGNC Symbol;Acc:HGNC:21396]",405,46,2101,731,137,144,460,394,"protein_coding",51099
"171","AKAP8L","A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]",225,160,540,162,121,50,183,218,"protein_coding",26993
"172","MBTD1","mbt domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19866]",187,148,799,254,83,67,246,126,"protein_coding",54799
"173","UTP18","UTP18 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24274]",66,62,286,32,53,30,53,61,"protein_coding",51096
"174","RNF216","ring finger protein 216 [Source:HGNC Symbol;Acc:HGNC:21698]",492,391,2422,768,221,127,824,397,"protein_coding",54476
"175","TTC19","tetratricopeptide repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:26006]",73,36,359,119,37,26,203,78,"protein_coding",54902
"176","PTBP1","polypyrimidine tract binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9583]",773,448,2474,1014,320,261,1121,914,"protein_coding",5725
"177","LARS2","leucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17095]",28,30,193,47,17,12,39,24,"protein_coding",23395
"178","PLAUR","plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]",809,144,1932,443,1053,353,566,800,"protein_coding",5329
"179","ANLN","anillin actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]",16,9,35,3,11,2,21,10,"protein_coding",54443
"180","WIZ","WIZ zinc finger [Source:HGNC Symbol;Acc:HGNC:30917]",130,97,330,87,67,77,137,92,"protein_coding",58525
"181","RABGAP1","RAB GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17155]",140,128,698,138,52,92,205,129,"protein_coding",23637
"182","QPCTL","glutaminyl-peptide cyclotransferase like [Source:HGNC Symbol;Acc:HGNC:25952]",52,20,123,22,19,17,43,47,"protein_coding",54814
"183","PPP5C","protein phosphatase 5 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9322]",63,107,569,158,45,21,206,89,"protein_coding",5536
