"","Symbol","Description","Biotypes","Average"
"27","POLDIP2","DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]","protein_coding",164.375
"28","PLXND1","plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]","protein_coding",172.625
"29","AK2","adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]","protein_coding",360.125
"30","CD38","CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]","protein_coding",98.625
"31","FKBP4","FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]","protein_coding",180.625
"32","KDM1A","lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]","protein_coding",45
"33","RBM6","RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]","protein_coding",285.25
"34","CAMKK1","calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]","protein_coding",54.375
"35","RECQL","RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]","protein_coding",71.75
"36","VPS50","VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956]","protein_coding",31.375
"37","ARHGAP33","Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]","protein_coding",37.75
"38","NDUFAB1","NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]","protein_coding",276
"39","PDK4","pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]","protein_coding",740
"40","SLC22A16","solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302]","protein_coding",19
"41","ZMYND10","zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]","protein_coding",19.625
"42","SLC25A13","solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]","protein_coding",17
"43","ST7","suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]","protein_coding",54.5
"44","CDC27","cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]","protein_coding",1342.875
"45","SLC4A1","solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]","protein_coding",3498.5
"46","HCCS","holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]","protein_coding",53.25
"47","DVL2","dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]","protein_coding",20.375
"48","UPF1","UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]","protein_coding",352.875
"49","SKAP2","src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]","protein_coding",726.625
"50","SLC25A5","solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]","protein_coding",1117.375
"51","MCUB","mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]","protein_coding",186.25
"52","POLR2J","RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]","protein_coding",214.875
"53","DHX33","DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718]","protein_coding",52.25
"54","LIG3","DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]","protein_coding",51.875
"55","RPAP3","RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]","protein_coding",129.125
"56","ACSM3","acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]","protein_coding",26.25
"57","CIAPIN1","cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]","protein_coding",73.75
"58","SPPL2B","signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]","protein_coding",221
"59","FAM214B","family with sequence similarity 214 member B [Source:HGNC Symbol;Acc:HGNC:25666]","protein_coding",220.5
"60","PRKAR2B","protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]","protein_coding",317
"61","MSL3","MSL complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7370]","protein_coding",206
"62","CREBBP","CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]","protein_coding",878.75
"63","TSPOAP1","TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]","protein_coding",105.75
"64","MPO","myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]","protein_coding",45.625
"65","GCFC2","GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]","protein_coding",21.25
"66","WDR54","WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]","protein_coding",40.25
"67","CROT","carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]","protein_coding",41.75
"68","RHBDD2","rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]","protein_coding",246.625
"69","IBTK","inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]","protein_coding",81.75
"70","ZNF195","zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986]","protein_coding",28.75
"71","MYCBP2","MYC binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23386]","protein_coding",484.75
"72","ITGAL","integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]","protein_coding",87.25
"73","PDK2","pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]","protein_coding",275.375
"74","ITGA3","integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]","protein_coding",13.5
"75","ZFX","zinc finger protein X-linked [Source:HGNC Symbol;Acc:HGNC:12869]","protein_coding",455.875
"76","LAMP2","lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]","protein_coding",2653.125
"77","ITGA2B","integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]","protein_coding",229.25
"78","GDE1","glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]","protein_coding",651.75
"79","REX1BD","required for excision 1-B domain containing [Source:HGNC Symbol;Acc:HGNC:26098]","protein_coding",31.125
"80","OSBPL7","oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387]","protein_coding",48.625
"81","MAP3K14","mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:HGNC:6853]","protein_coding",123.375
"82","AP2B1","adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]","protein_coding",1167.875
"83","SPATA20","spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125]","protein_coding",26.625
"84","TNFRSF12A","TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]","protein_coding",38
"85","MAP3K9","mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:HGNC:6861]","protein_coding",33.875
"86","KDM7A","lysine demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]","protein_coding",1060.125
"87","ALDH3B1","aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]","protein_coding",195.875
"88","TTC22","tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]","protein_coding",32.625
"89","PHTF2","putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]","protein_coding",114.75
"90","FARP2","FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]","protein_coding",22.125
"91","DBF4","DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]","protein_coding",50.625
"92","TBXA2R","thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]","protein_coding",43.75
"93","IFRD1","interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]","protein_coding",59.875
"94","COX10","cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 [Source:HGNC Symbol;Acc:HGNC:2260]","protein_coding",221.25
"95","PAF1","PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]","protein_coding",251.125
"96","VPS41","VPS41 subunit of HOPS complex [Source:HGNC Symbol;Acc:HGNC:12713]","protein_coding",147.875
"97","ELAC2","elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:HGNC:14198]","protein_coding",161.125
"98","ARSD","arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]","protein_coding",55.75
"99","ADIPOR2","adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]","protein_coding",164.625
"100","MARK4","microtubule affinity regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]","protein_coding",164.5
"101","CCDC124","coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:HGNC:25171]","protein_coding",297.375
"102","CEACAM21","CEA cell adhesion molecule 21 [Source:HGNC Symbol;Acc:HGNC:28834]","protein_coding",62.125
"103","PAFAH1B1","platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]","protein_coding",435.25
"104","KIAA0100","KIAA0100 [Source:HGNC Symbol;Acc:HGNC:28960]","protein_coding",297
"105","GAS7","growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]","protein_coding",699.375
"106","TRAPPC6A","trafficking protein particle complex subunit 6A [Source:HGNC Symbol;Acc:HGNC:23069]","protein_coding",163.75
"107","MATK","megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6906]","protein_coding",289.75
"108","TKTL1","transketolase like 1 [Source:HGNC Symbol;Acc:HGNC:11835]","protein_coding",50.375
"109","RPUSD1","RNA pseudouridine synthase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14173]","protein_coding",36.5
"110","LUC7L","LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723]","protein_coding",373.625
"111","CACNA2D2","calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]","protein_coding",21.25
"112","BAIAP3","BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]","protein_coding",55.375
"113","TSR3","TSR3 ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:14175]","protein_coding",282
"114","PIGQ","phosphatidylinositol glycan anchor biosynthesis class Q [Source:HGNC Symbol;Acc:HGNC:14135]","protein_coding",178.625
"115","DNAJC11","DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570]","protein_coding",69
"116","MYLIP","myosin regulatory light chain interacting protein [Source:HGNC Symbol;Acc:HGNC:21155]","protein_coding",73.875
"117","E2F2","E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]","protein_coding",480.875
"118","PSMB1","proteasome 20S subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:9537]","protein_coding",311.125
"119","JARID2","jumonji and AT-rich interaction domain containing 2 [Source:HGNC Symbol;Acc:HGNC:6196]","protein_coding",713.375
"120","NADK","NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]","protein_coding",1408.75
"121","CYTH3","cytohesin 3 [Source:HGNC Symbol;Acc:HGNC:9504]","protein_coding",47.75
"122","SYPL1","synaptophysin like 1 [Source:HGNC Symbol;Acc:HGNC:11507]","protein_coding",347.75
"123","CYB561","cytochrome b561 [Source:HGNC Symbol;Acc:HGNC:2571]","protein_coding",58.25
"124","SPAG9","sperm associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:14524]","protein_coding",711
"125","SS18L2","SS18 like 2 [Source:HGNC Symbol;Acc:HGNC:15593]","protein_coding",55
"126","MPND","MPN domain containing [Source:HGNC Symbol;Acc:HGNC:25934]","protein_coding",25.125
"127","MGST1","microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061]","protein_coding",141.125
"128","CRY1","cryptochrome circadian regulator 1 [Source:HGNC Symbol;Acc:HGNC:2384]","protein_coding",21.875
"129","PGLYRP1","peptidoglycan recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:8904]","protein_coding",523.625
"130","ST3GAL1","ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10862]","protein_coding",258
"131","MMP25","matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246]","protein_coding",30.75
"132","IL32","interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]","protein_coding",18.75
"133","MED24","mediator complex subunit 24 [Source:HGNC Symbol;Acc:HGNC:22963]","protein_coding",297
"134","RHOBTB2","Rho related BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18756]","protein_coding",108.375
"135","HEATR5B","HEAT repeat containing 5B [Source:HGNC Symbol;Acc:HGNC:29273]","protein_coding",447
"136","SEC62","SEC62 homolog, preprotein translocation factor [Source:HGNC Symbol;Acc:HGNC:11846]","protein_coding",507.125
"137","RPS20","ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]","protein_coding",2077.75
"138","UBE3C","ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:HGNC:16803]","protein_coding",146.375
"139","REV3L","REV3 like, DNA directed polymerase zeta catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9968]","protein_coding",89.25
"140","TENM1","teneurin transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:8117]","protein_coding",48
"141","FAM76A","family with sequence similarity 76 member A [Source:HGNC Symbol;Acc:HGNC:28530]","protein_coding",112.75
"142","POMT2","protein O-mannosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:19743]","protein_coding",16.875
"143","VTA1","vesicle trafficking 1 [Source:HGNC Symbol;Acc:HGNC:20954]","protein_coding",78.25
"144","BAZ1B","bromodomain adjacent to zinc finger domain 1B [Source:HGNC Symbol;Acc:HGNC:961]","protein_coding",41.125
"145","RANBP9","RAN binding protein 9 [Source:HGNC Symbol;Acc:HGNC:13727]","protein_coding",157.25
"146","ETV7","ETS variant transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:18160]","protein_coding",12.125
"147","SPRTN","SprT-like N-terminal domain [Source:HGNC Symbol;Acc:HGNC:25356]","protein_coding",86.375
"148","METTL13","methyltransferase 13, eEF1A lysine and N-terminal methyltransferase [Source:HGNC Symbol;Acc:HGNC:24248]","protein_coding",29.625
"149","UQCRC1","ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]","protein_coding",104.875
"150","STARD3NL","STARD3 N-terminal like [Source:HGNC Symbol;Acc:HGNC:19169]","protein_coding",113.75
"151","CD9","CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]","protein_coding",318.875
"152","NCAPD2","non-SMC condensin I complex subunit D2 [Source:HGNC Symbol;Acc:HGNC:24305]","protein_coding",456.375
"153","IFFO1","intermediate filament family orphan 1 [Source:HGNC Symbol;Acc:HGNC:24970]","protein_coding",132.125
"154","GIPR","gastric inhibitory polypeptide receptor [Source:HGNC Symbol;Acc:HGNC:4271]","protein_coding",19.75
"155","NISCH","nischarin [Source:HGNC Symbol;Acc:HGNC:18006]","protein_coding",199
"156","STAB1","stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]","protein_coding",96.125
"157","FUZ","fuzzy planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:26219]","protein_coding",92.625
"158","ZNF200","zinc finger protein 200 [Source:HGNC Symbol;Acc:HGNC:12993]","protein_coding",94.875
"159","CD4","CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]","protein_coding",1112.125
"160","LRRC23","leucine rich repeat containing 23 [Source:HGNC Symbol;Acc:HGNC:19138]","protein_coding",14.375
"161","BTK","Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:1133]","protein_coding",180.75
"162","HFE","homeostatic iron regulator [Source:HGNC Symbol;Acc:HGNC:4886]","protein_coding",28.375
"163","SCMH1","Scm polycomb group protein homolog 1 [Source:HGNC Symbol;Acc:HGNC:19003]","protein_coding",129.125
"164","FYN","FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]","protein_coding",988.875
"165","HIVEP2","HIVEP zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4921]","protein_coding",142.5
"166","ELOA","elongin A [Source:HGNC Symbol;Acc:HGNC:11620]","protein_coding",192.75
"167","LYPLA2","lysophospholipase 2 [Source:HGNC Symbol;Acc:HGNC:6738]","protein_coding",353.875
"168","CLCN6","chloride voltage-gated channel 6 [Source:HGNC Symbol;Acc:HGNC:2024]","protein_coding",98.25
"169","TSPAN9","tetraspanin 9 [Source:HGNC Symbol;Acc:HGNC:21640]","protein_coding",37
"170","BTBD7","BTB domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18269]","protein_coding",250.125
"171","APBA3","amyloid beta precursor protein binding family A member 3 [Source:HGNC Symbol;Acc:HGNC:580]","protein_coding",196
"172","MKS1","MKS transition zone complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:7121]","protein_coding",24.5
"173","ABHD5","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase [Source:HGNC Symbol;Acc:HGNC:21396]","protein_coding",634.375
"174","AKAP8L","A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]","protein_coding",210.5
"175","MBTD1","mbt domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19866]","protein_coding",258.5
"176","UTP18","UTP18 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:24274]","protein_coding",83.75
"177","RNF216","ring finger protein 216 [Source:HGNC Symbol;Acc:HGNC:21698]","protein_coding",781
"178","TTC19","tetratricopeptide repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:26006]","protein_coding",120
"179","PTBP1","polypyrimidine tract binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9583]","protein_coding",925.125
"180","LARS2","leucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17095]","protein_coding",48.625
"181","PLAUR","plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]","protein_coding",824.125
"182","WIZ","WIZ zinc finger [Source:HGNC Symbol;Acc:HGNC:30917]","protein_coding",136.375
"183","RABGAP1","RAB GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17155]","protein_coding",211.75
"184","QPCTL","glutaminyl-peptide cyclotransferase like [Source:HGNC Symbol;Acc:HGNC:25952]","protein_coding",42.625
"185","PPP5C","protein phosphatase 5 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9322]","protein_coding",157
"186","CEP68","centrosomal protein 68 [Source:HGNC Symbol;Acc:HGNC:29076]","protein_coding",112.875
"187","MAP4K3","mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6865]","protein_coding",98.125
"188","TYROBP","transmembrane immune signaling adaptor TYROBP [Source:HGNC Symbol;Acc:HGNC:12449]","protein_coding",9911.375
"189","LDAF1","lipid droplet assembly factor 1 [Source:HGNC Symbol;Acc:HGNC:30136]","protein_coding",57.875
"190","BRCA1","BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]","protein_coding",19.375
"191","ERCC1","ERCC excision repair 1, endonuclease non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3433]","protein_coding",44.875
"192","CD22","CD22 molecule [Source:HGNC Symbol;Acc:HGNC:1643]","protein_coding",244.25
"193","MBTPS2","membrane bound transcription factor peptidase, site 2 [Source:HGNC Symbol;Acc:HGNC:15455]","protein_coding",40.5
"194","PRICKLE3","prickle planar cell polarity protein 3 [Source:HGNC Symbol;Acc:HGNC:6645]","protein_coding",29.5
"195","LTF","lactotransferrin [Source:HGNC Symbol;Acc:HGNC:6720]","protein_coding",222.375
"196","EXTL3","exostosin like glycosyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:3518]","protein_coding",69
"197","ELOVL5","ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]","protein_coding",2317.875
"198","ALOX5","arachidonate 5-lipoxygenase [Source:HGNC Symbol;Acc:HGNC:435]","protein_coding",1273.5
"199","CALCOCO1","calcium binding and coiled-coil domain 1 [Source:HGNC Symbol;Acc:HGNC:29306]","protein_coding",408
"200","MAP4K5","mitogen-activated protein kinase kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6867]","protein_coding",114.25
"201","EHD3","EH domain containing 3 [Source:HGNC Symbol;Acc:HGNC:3244]","protein_coding",81.125
"202","PSMC4","proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]","protein_coding",363.625
"203","MAN2B2","mannosidase alpha class 2B member 2 [Source:HGNC Symbol;Acc:HGNC:29623]","protein_coding",434.375
"204","SLC25A39","solute carrier family 25 member 39 [Source:HGNC Symbol;Acc:HGNC:24279]","protein_coding",15212.625
"205","MVP","major vault protein [Source:HGNC Symbol;Acc:HGNC:7531]","protein_coding",274.75
"206","PGM3","phosphoglucomutase 3 [Source:HGNC Symbol;Acc:HGNC:8907]","protein_coding",16.875
"207","CLK1","CDC like kinase 1 [Source:HGNC Symbol;Acc:HGNC:2068]","protein_coding",1051.625
"208","RNF14","ring finger protein 14 [Source:HGNC Symbol;Acc:HGNC:10058]","protein_coding",704.5
"209","DDX11","DEAD/H-box helicase 11 [Source:HGNC Symbol;Acc:HGNC:2736]","protein_coding",25
"210","HEBP1","heme binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17176]","protein_coding",345.875
"211","CD6","CD6 molecule [Source:HGNC Symbol;Acc:HGNC:1691]","protein_coding",407
"212","TACC3","transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524]","protein_coding",388.875
"213","UFL1","UFM1 specific ligase 1 [Source:HGNC Symbol;Acc:HGNC:23039]","protein_coding",180.5
"214","ZC3H3","zinc finger CCCH-type containing 3 [Source:HGNC Symbol;Acc:HGNC:28972]","protein_coding",85.75
"215","CAPN1","calpain 1 [Source:HGNC Symbol;Acc:HGNC:1476]","protein_coding",284
"216","ACP3","acid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:125]","protein_coding",214.375
"217","MDH1","malate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:6970]","protein_coding",521.25
"218","SLC30A9","solute carrier family 30 member 9 [Source:HGNC Symbol;Acc:HGNC:1329]","protein_coding",156.25
"219","CCDC88C","coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:HGNC:19967]","protein_coding",265.875
"220","ZMYND11","zinc finger MYND-type containing 11 [Source:HGNC Symbol;Acc:HGNC:16966]","protein_coding",234.375
"221","WAS","WASP actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12731]","protein_coding",2810.375
"222","BID","BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]","protein_coding",110.25
"223","XYLT2","xylosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:15517]","protein_coding",245.125
"224","NUDCD3","NudC domain containing 3 [Source:HGNC Symbol;Acc:HGNC:22208]","protein_coding",288.875
"225","GLT8D1","glycosyltransferase 8 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24870]","protein_coding",168.625
"226","SLC38A5","solute carrier family 38 member 5 [Source:HGNC Symbol;Acc:HGNC:18070]","protein_coding",191.625
"227","RALBP1","ralA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9841]","protein_coding",161.125
"228","RUFY3","RUN and FYVE domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30285]","protein_coding",109.875
"229","SLC11A1","solute carrier family 11 member 1 [Source:HGNC Symbol;Acc:HGNC:10907]","protein_coding",1122.5
"230","AGPS","alkylglycerone phosphate synthase [Source:HGNC Symbol;Acc:HGNC:327]","protein_coding",230.25
"231","STEEP1","STING1 ER exit protein 1 [Source:HGNC Symbol;Acc:HGNC:26239]","protein_coding",76.25
"232","ZNF582","zinc finger protein 582 [Source:HGNC Symbol;Acc:HGNC:26421]","protein_coding",32.75
"233","CD74","CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]","protein_coding",1569.875
"234","HGF","hepatocyte growth factor [Source:HGNC Symbol;Acc:HGNC:4893]","protein_coding",19.25
"235","ZRANB1","zinc finger RANBP2-type containing 1 [Source:HGNC Symbol;Acc:HGNC:18224]","protein_coding",579.375
"236","NCDN","neurochondrin [Source:HGNC Symbol;Acc:HGNC:17597]","protein_coding",51.625
"237","ADGRA2","adhesion G protein-coupled receptor A2 [Source:HGNC Symbol;Acc:HGNC:17849]","protein_coding",16.375
